"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",1,"0.5%","13.5%","27.0%","100%","0%",3,0,6,9,"60.0%","0.0%","0%",114,167,6,9.3,"22.8%",514,"22.7%","21.5%",0.84,0.58
"Aatrox","Top",28,"13.0%","13.5%","27.0%","43%","57%",59,66,117,2.7,"56.6%","19.1%","7%",-11,-38,0.8,8.4,"24.6%",489,"27.2%","22.4%",0.4,0.23
"Akali","Middle",1,"0.5%","14.4%","17.2%","100%","100%",10,0,6,16,"80.0%","0.0%","0%",132,248,-13,9.5,"28.4%",760,"37.5%","28.9%",0.28,0.28
"Akali","Top",5,"2.3%","14.4%","17.2%","60%","60%",15,14,24,2.8,"51.3%","24.6%","20%",174,200,2.2,7.7,"21.9%",507,"23.7%","20.0%",0.39,0.17
"Alistar","Support",89,"41.4%","27.0%","68.4%","48%","48%",48,250,654,2.8,"68.6%","23.4%","20%",-50,-55,-2,1.1,"2.3%",116,"6.5%","8.2%",1.77,0.35
"Aphelios","ADC",43,"20.0%","25.1%","45.1%","51%","63%",156,99,162,3.2,"61.9%","18.3%","21%",132,40,6,10,"33.1%",466,"25.4%","27.6%",0.42,0.48
"Ashe","ADC",1,"0.5%","0.0%","0.5%","0%","100%",1,4,7,2,"88.9%","30.8%","0%",187,103,-4,9.3,"30.9%",370,"23.5%","25.3%",0.5,0.34
"Azir","Middle",62,"28.8%","33.5%","62.3%","50%","42%",152,136,328,3.5,"66.8%","17.7%","15%",-79,52,0.2,9.2,"27.5%",518,"28.1%","24.1%",0.51,0.28
"Blitzcrank","Support",1,"0.5%","0.0%","0.5%","0%","100%",2,9,9,1.2,"64.7%","32.1%","0%",9,100,1,0.9,"2.1%",119,"5.5%","8.2%",1.98,0.33
"Braum","Support",2,"0.9%","0.0%","0.9%","50%","50%",0,6,12,2,"70.6%","18.2%","0%",-227,-175,12,1.2,"2.7%",188,"7.7%","8.1%",2.06,0.48
"Camille","Top",37,"17.2%","22.8%","40.0%","51%","22%",116,111,180,2.7,"55.3%","23.2%","22%",-7,21,-1.2,8.5,"26.2%",442,"23.3%","23.4%",0.34,0.27
"Cassiopeia","Middle",1,"0.5%","0.0%","1.4%","0%","100%",0,4,4,1,"80.0%","19.0%","0%",-449,14,5,9.4,"31.1%",401,"32.2%","25.7%",0.65,0.14
"Cassiopeia","Top",2,"0.9%","0.0%","1.4%","0%","100%",4,12,5,0.8,"60.0%","35.3%","0%",-130,-521,9.5,7.3,"22.3%",368,"24.5%","21.1%",0.36,0.31
"Cho'Gath","Top",6,"2.8%","0.5%","3.3%","50%","83%",13,12,26,3.3,"63.9%","22.2%","33%",165,109,-0.8,7.9,"22.6%",355,"20.4%","21.3%",0.46,0.21
"Corki","Middle",2,"0.9%","0.0%","0.9%","50%","100%",9,6,13,3.7,"81.5%","26.1%","50%",452,75,8,10.4,"31.1%",605,"30.3%","30.3%",0.39,0.23
"Dr. Mundo","Jungle",5,"2.3%","0.9%","3.3%","20%","60%",17,13,23,3.1,"80.0%","14.9%","40%",-40,152,5.4,6.9,"20.1%",453,"24.1%","22.2%",0.35,0.52
"Ekko","-",0,"0%","1.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",15,"7.0%","6.5%","13.5%","73%","73%",71,24,52,5.1,"59.1%","13.4%","13%",151,68,15.7,9.7,"29.7%",644,"30.5%","26.3%",0.49,0.36
"Fizz","Top",1,"0.5%","0.0%","0.5%","100%","100%",4,3,6,3.3,"47.6%","30.0%","100%",439,710,11,7.1,"22.2%",385,"16.7%","20.4%",0.22,0.17
"Galio","Middle",6,"2.8%","14.9%","27.9%","33%","100%",9,11,35,4,"69.8%","15.5%","17%",-329,-244,-10.5,8.6,"25.5%",350,"23.5%","22.4%",0.55,0.22
"Galio","Support",22,"10.2%","14.9%","27.9%","55%","95%",17,71,166,2.6,"66.8%","26.6%","14%",-98,-33,0.3,1.3,"3.1%",182,"9.5%","8.9%",1.73,0.38
"Gangplank","Top",15,"7.0%","7.0%","14.0%","33%","100%",44,35,75,3.4,"65.7%","16.1%","33%",186,-19,2.7,8.7,"26.8%",664,"34.1%","27.1%",0.51,0.12
