"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",39,19,20,35.7,427,434,0.98,0.62,0.13,"-1.8%",52.7,-4,178,"56%","59%","54%","53%","51%","51%","67%","33%","46%","50.4%","47.5%",3.87,1.48,2.03
"DRX",36,8,28,32.7,317,521,0.61,0.71,-0.73,"-5.2%",40.7,-18.5,-639,"31%","39%","31%","42%","39%","35%","0%","25%","21%","49.7%","48.9%",3.46,1.39,1.67
"DWG KIA",39,25,14,32.4,544,471,1.15,0.8,0.26,"4.1%",52.1,12,270,"46%","64%","62%","59%","44%","57%","20%","64%","73%","49.3%","53.0%",3.72,1.53,1.73
"Fredit BRION",42,18,24,33.1,422,450,0.94,0.63,-0.56,"-2.3%",45.9,-3.1,-631,"50%","40%","36%","41%","69%","56%","71%","38%","39%","49.7%","49.1%",4.02,1.67,1.95
"Gen.G",36,22,14,33.2,488,381,1.28,0.72,0.1,"3.7%",53.1,8,317,"58%","42%","50%","39%","53%","56%","67%","53%","60%","50.7%","51.2%",3.84,1.64,1.88
"Hanwha Life Esports",39,15,24,33.2,448,512,0.88,0.74,0.18,"-2.3%",47.4,-8.9,-9,"51%","51%","51%","59%","33%","40%","50%","33%","35%","50.7%","48.4%",3.46,1.53,1.76
"KT Rolster",37,16,21,31.7,434,467,0.93,0.77,-0.07,"-1.8%",49.9,-6.7,10,"46%","49%","32%","46%","46%","46%","67%","46%","50%","50.1%","49.6%",3.4,1.63,1.64
"Liiv SANDBOX",39,23,16,33.5,459,469,0.98,0.71,0.05,"-0.2%",52.8,6.2,-92,"51%","54%","67%","56%","54%","55%","60%","64%","56%","50.2%","48.9%",3.76,1.61,1.83
"Nongshim RedForce",40,25,15,34.9,521,438,1.19,0.69,-0.19,"1.4%",46.8,15.7,-355,"43%","45%","50%","53%","60%","52%","33%","55%","55%","49.3%","51.4%",3.6,1.31,1.89
"T1",37,21,16,34.4,442,371,1.19,0.64,0.82,"4.7%",58.9,-2.2,1037,"68%","57%","68%","51%","49%","49%","67%","57%","55%","49.9%","52.1%",4.19,1.74,1.8
