,tier,leagueId,queue,name,entries,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
0,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'BlCx2lDxVGafcp_QckMT1TgVPEZRQ7OlMHW9r6aYluw_tw', 'summonerName': '쪼렙이다말로하자', 'leaguePoints': 1735, 'rank': 'I', 'wins': 863, 'losses': 769, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",BlCx2lDxVGafcp_QckMT1TgVPEZRQ7OlMHW9r6aYluw_tw,쪼렙이다말로하자,1735,863,769,True,False,False,False
1,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'Hv1fc8N2RC7enz04mkzQHILiPVvIJTtpP-nCWS2lEiMIGSU', 'summonerName': '언제나잘하고싶다', 'leaguePoints': 1701, 'rank': 'I', 'wins': 255, 'losses': 172, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",Hv1fc8N2RC7enz04mkzQHILiPVvIJTtpP-nCWS2lEiMIGSU,언제나잘하고싶다,1701,255,172,True,False,False,False
2,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '87y6tBq3HvJfWveYZ9dgZCm_mOKZFY_kObhYxwyIj5p-GyU', 'summonerName': '농심 리치', 'leaguePoints': 1658, 'rank': 'I', 'wins': 481, 'losses': 396, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",87y6tBq3HvJfWveYZ9dgZCm_mOKZFY_kObhYxwyIj5p-GyU,농심 리치,1658,481,396,True,False,False,True
3,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'Z4PYE7nbhyaohHNOQAYviyXYzT2fyJlsdhkSDqihbiQT3LU', 'summonerName': '나는 준일하다', 'leaguePoints': 1555, 'rank': 'I', 'wins': 305, 'losses': 228, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",Z4PYE7nbhyaohHNOQAYviyXYzT2fyJlsdhkSDqihbiQT3LU,나는 준일하다,1555,305,228,True,False,False,False
4,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'JKPsaMnvg5-B7t_mryP5e6XMbFWrZkn_w1fqSNK2dGvfYxLrx2KoYiT41g', 'summonerName': '구마유시', 'leaguePoints': 1531, 'rank': 'I', 'wins': 232, 'losses': 170, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",JKPsaMnvg5-B7t_mryP5e6XMbFWrZkn_w1fqSNK2dGvfYxLrx2KoYiT41g,구마유시,1531,232,170,True,False,False,False
5,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'rV-4dSOysi5TyZBKKTg9U52Pb15Q8ndFBn3m1P0vGn0cRYA', 'summonerName': 'BRO Hoya', 'leaguePoints': 1492, 'rank': 'I', 'wins': 371, 'losses': 297, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",rV-4dSOysi5TyZBKKTg9U52Pb15Q8ndFBn3m1P0vGn0cRYA,BRO Hoya,1492,371,297,True,False,False,False
6,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'TIXHvaVeZtJnqlt5yTkgUWqu6e3ZZk-l8Q7EOujj1Q38iFk', 'summonerName': 'Lehends', 'leaguePoints': 1490, 'rank': 'I', 'wins': 530, 'losses': 449, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",TIXHvaVeZtJnqlt5yTkgUWqu6e3ZZk-l8Q7EOujj1Q38iFk,Lehends,1490,530,449,True,False,False,False
7,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'Pw4Vc_7UuTh9RGRrcTWX8rZKPLNr_MM0lQwGdPzeBO70BLA', 'summonerName': 'Cuzzzzzzz', 'leaguePoints': 1465, 'rank': 'I', 'wins': 305, 'losses': 217, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",Pw4Vc_7UuTh9RGRrcTWX8rZKPLNr_MM0lQwGdPzeBO70BLA,Cuzzzzzzz,1465,305,217,True,False,False,False
8,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'zXbcEmqSkFtU4T7cP33KKPkr-63OzB7pWnP1NblTkMSXAcI', 'summonerName': '5358123', 'leaguePoints': 1464, 'rank': 'I', 'wins': 408, 'losses': 321, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",zXbcEmqSkFtU4T7cP33KKPkr-63OzB7pWnP1NblTkMSXAcI,5358123,1464,408,321,True,False,False,False
9,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'clArhknVIorriST6hUSKj5gUY2LI0yvC4HqC-uXBiNkQHKnGgkdtXq0fhQ', 'summonerName': 'ndbg', 'leaguePoints': 1420, 'rank': 'I', 'wins': 223, 'losses': 167, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",clArhknVIorriST6hUSKj5gUY2LI0yvC4HqC-uXBiNkQHKnGgkdtXq0fhQ,ndbg,1420,223,167,True,False,False,False
10,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'C0JKLDvRb30220s_0KUe8GCEUZNfhSrW7A66sBrdb_5RXKZSTxdcSFmF0w', 'summonerName': 'Cliffteezy', 'leaguePoints': 1412, 'rank': 'I', 'wins': 502, 'losses': 424, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",C0JKLDvRb30220s_0KUe8GCEUZNfhSrW7A66sBrdb_5RXKZSTxdcSFmF0w,Cliffteezy,1412,502,424,True,False,False,False
11,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'Vgnabk91qA5J_KJAEr9fZZmJKmec0dhqN9bEnaW2Q5OHZOM', 'summonerName': 'lin shu hao', 'leaguePoints': 1403, 'rank': 'I', 'wins': 556, 'losses': 478, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",Vgnabk91qA5J_KJAEr9fZZmJKmec0dhqN9bEnaW2Q5OHZOM,lin shu hao,1403,556,478,True,False,False,False
12,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'Y3CeHkIQ-u1LJVPhQRDFgr_cY1RogdZfeYwdK4pYoJWHDCEdVPeKWjqSPw', 'summonerName': 'haoyunbaobel', 'leaguePoints': 1400, 'rank': 'I', 'wins': 559, 'losses': 465, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",Y3CeHkIQ-u1LJVPhQRDFgr_cY1RogdZfeYwdK4pYoJWHDCEdVPeKWjqSPw,haoyunbaobel,1400,559,465,True,False,False,False
13,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '1N7BfOKHqr_Qs-JpWhrPELfPaHEFIuPrOyjp45yoTLYtvYo', 'summonerName': 'KT Ucal', 'leaguePoints': 1391, 'rank': 'I', 'wins': 468, 'losses': 397, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",1N7BfOKHqr_Qs-JpWhrPELfPaHEFIuPrOyjp45yoTLYtvYo,KT Ucal,1391,468,397,True,False,False,False
14,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'YriO4FvBAivRn00EaxJAnbZydo15cFmIzxbt9JZuStuv5jb2gO5F7rQa8g', 'summonerName': 'zzzzussss', 'leaguePoints': 1386, 'rank': 'I', 'wins': 186, 'losses': 129, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",YriO4FvBAivRn00EaxJAnbZydo15cFmIzxbt9JZuStuv5jb2gO5F7rQa8g,zzzzussss,1386,186,129,True,False,False,False
15,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '_BgnP5pD7t4Y5hFn8XiCrxsjI4EKmKsBbNFTTlk4QJqlXw__06OBQB5TIw', 'summonerName': 'wu guan feng yue', 'leaguePoints': 1380, 'rank': 'I', 'wins': 714, 'losses': 634, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",_BgnP5pD7t4Y5hFn8XiCrxsjI4EKmKsBbNFTTlk4QJqlXw__06OBQB5TIw,wu guan feng yue,1380,714,634,True,False,False,False
16,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'q0MnMbdpJJ3-vxU97wEMidKfh406FM6m7tkGpUoZ68ac_A', 'summonerName': 'JustLikeThatKR', 'leaguePoints': 1371, 'rank': 'I', 'wins': 607, 'losses': 536, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",q0MnMbdpJJ3-vxU97wEMidKfh406FM6m7tkGpUoZ68ac_A,JustLikeThatKR,1371,607,536,True,False,False,False
