,version,name,champId,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
0,10.6.1,Aatrox,266,580.0,90,0.0,0.0,345,38.0,3.25,32.1,1.25,175,3.0,1.0,0.0,0.0,0,0,60.0,5.0,2.5,0.651
1,10.6.1,Ahri,103,526.0,92,418.0,25.0,330,20.88,3.5,30.0,0.5,550,6.5,0.6,8.0,0.8,0,0,53.04,3.0,2.0,0.668
2,10.6.1,Akali,84,575.0,95,200.0,0.0,345,23.0,3.5,37.0,1.25,125,8.0,0.5,50.0,0.0,0,0,62.4,3.3,3.2,0.625
3,10.6.1,Alistar,12,600.0,106,350.0,40.0,330,44.0,3.5,32.1,1.25,125,8.5,0.85,8.5,0.8,0,0,62.0,3.75,2.125,0.625
4,10.6.1,Amumu,32,613.12,84,287.2,40.0,335,33.0,3.8,32.1,1.25,125,9.0,0.85,7.382,0.525,0,0,53.38,3.8,2.18,0.736
5,10.6.1,Anivia,34,480.0,82,495.0,25.0,325,21.22,4.0,30.0,0.5,600,5.5,0.55,8.0,0.8,0,0,51.376,3.2,1.68,0.625
6,10.6.1,Annie,1,524.0,88,418.0,25.0,335,19.22,4.0,30.0,0.5,625,5.5,0.55,8.0,0.8,0,0,50.41,2.625,1.36,0.579
7,10.6.1,Aphelios,523,500.0,86,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,0,0,57.0,2.2,2.1,0.64
8,10.6.1,Ashe,22,539.0,85,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,0,0,61.0,2.96,3.33,0.658
9,10.6.1,AurelionSol,136,575.0,92,350.0,50.0,325,19.0,3.6,30.0,0.5,550,7.0,0.6,6.0,0.8,0,0,57.0,3.2,1.36,0.625
10,10.6.1,Azir,268,552.0,92,480.0,21.0,335,19.04,3.0,30.0,0.5,525,7.0,0.75,8.0,0.8,0,0,52.0,2.8,3.0,0.625
11,10.6.1,Bard,432,575.0,89,350.0,50.0,330,34.0,4.0,30.0,0.5,500,5.5,0.55,6.0,0.45,0,0,52.0,3.0,2.0,0.625
12,10.6.1,Blitzcrank,53,582.6,95,267.2,40.0,325,37.0,3.5,32.1,1.25,125,8.5,0.75,8.5,0.8,0,0,61.54,3.5,1.13,0.625
13,10.6.1,Brand,63,519.68,88,469.0,21.0,340,21.88,3.5,30.0,0.5,550,5.5,0.55,10.665,0.6,0,0,57.04,3.0,1.36,0.625
14,10.6.1,Braum,201,540.0,98,310.6,45.0,335,47.0,4.0,32.1,1.25,125,8.5,1.0,6.0,0.8,0,0,55.376,3.2,3.5,0.644
15,10.6.1,Caitlyn,51,481.0,91,313.7,35.0,325,28.0,3.5,30.0,0.5,650,3.5,0.55,7.4,0.55,0,0,62.0,2.88,4.0,0.681
16,10.6.1,Camille,164,575.6,85,338.8,32.0,340,35.0,3.8,32.1,1.25,125,8.5,0.8,8.15,0.75,0,0,68.0,3.5,2.5,0.644
17,10.6.1,Cassiopeia,69,575.0,90,350.0,40.0,328,20.0,3.5,30.0,0.5,550,5.5,0.5,8.0,0.8,0,0,53.0,3.0,1.5,0.647
18,10.6.1,Chogath,31,574.4,80,272.2,40.0,345,38.0,3.5,32.1,1.25,125,9.0,0.85,7.206,0.45,0,0,69.0,4.2,1.44,0.625
19,10.6.1,Corki,42,518.0,87,350.16,34.0,325,28.0,3.5,30.0,0.5,550,5.5,0.55,7.424,0.55,0,0,55.0,2.5,2.3,0.638
20,10.6.1,Darius,122,582.24,100,263.0,37.5,340,39.0,4.0,32.1,1.25,175,10.0,0.95,6.6,0.35,0,0,64.0,5.0,1.0,0.625
21,10.6.1,Diana,131,594.0,95,375.0,25.0,345,31.0,3.6,32.1,1.25,150,7.5,0.85,8.0,0.8,0,0,57.04,3.0,2.25,0.625
22,10.6.1,Draven,119,574.0,88,360.56,39.0,330,29.0,3.3,30.0,0.5,550,3.75,0.7,8.042,0.65,0,0,60.0,3.61,2.7,0.679
23,10.6.1,DrMundo,36,582.52,89,0.0,0.0,345,36.0,3.5,32.1,1.25,125,8.0,0.75,0.0,0.0,0,0,61.27,3.5,2.8,0.721
24,10.6.1,Ekko,245,585.0,85,280.0,50.0,340,32.0,3.0,32.0,1.25,125,9.0,0.9,7.0,0.8,0,0,58.0,3.0,3.3,0.688
25,10.6.1,Elise,60,534.0,93,324.0,50.0,330,27.0,3.35,30.0,0.5,550,5.5,0.6,6.0,0.8,0,0,55.0,3.0,1.75,0.625
26,10.6.1,Evelynn,28,572.0,84,315.6,42.0,335,37.0,3.5,32.1,1.25,125,8.5,0.75,8.108,0.6,0,0,61.0,3.0,2.1,0.667
27,10.6.1,Ezreal,81,500.0,86,375.0,50.0,325,22.0,3.5,30.0,0.5,550,4.0,0.55,8.5,0.65,0,0,60.0,2.5,2.5,0.625
28,10.6.1,Fiddlesticks,9,524.4,80,500.0,28.0,335,30.0,3.5,30.0,0.5,480,5.5,0.6,8.0,0.8,0,0,48.36,2.625,2.11,0.625
29,10.6.1,Fiora,114,550.0,85,300.0,40.0,345,33.0,3.5,32.1,1.25,150,8.5,0.55,8.0,0.7,0,0,68.0,3.3,3.2,0.69
30,10.6.1,Fizz,105,570.0,98,317.2,37.0,335,22.412,3.4,32.1,1.25,175,8.0,0.7,6.0,0.8,0,0,58.04,3.0,3.1,0.658
31,10.6.1,Galio,3,562.0,112,500.0,40.0,335,24.0,3.5,32.0,1.25,150,8.0,0.8,9.5,0.7,0,0,59.0,3.5,1.5,0.625
32,10.6.1,Gangplank,41,540.0,82,282.0,40.0,345,35.0,3.0,32.1,1.25,125,6.0,0.6,7.5,0.7,0,0,64.0,3.0,3.2,0.658
33,10.6.1,Garen,86,620.0,84,0.0,0.0,340,36.0,3.0,32.1,0.75,175,8.0,0.5,0.0,0.0,0,0,66.0,4.5,3.65,0.625
34,10.6.1,Gnar,150,510.0,65,100.0,0.0,335,32.0,2.5,30.0,0.5,175,4.5,1.75,0.0,0.0,0,0,59.0,3.0,6.0,0.625
