,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,5353779756,142,420,13,1627408794568,SOLO,MID
1,KR,5351903351,142,420,13,1627326705828,DUO_SUPPORT,NONE
2,KR,5351960180,7,420,13,1627323820506,DUO,MID
3,KR,5351809074,142,420,13,1627321901323,DUO,TOP
4,KR,5351805859,142,420,13,1627319548112,DUO,MID
5,KR,5351871694,142,420,13,1627317568100,DUO_SUPPORT,NONE
6,KR,5342019611,142,420,13,1626976927526,SOLO,MID
7,KR,5342015626,142,420,13,1626974003854,SOLO,MID
8,KR,5342041794,142,420,13,1626971954014,SOLO,MID
9,KR,5341954675,142,420,13,1626968798425,DUO_SUPPORT,NONE
10,KR,5337864627,103,420,13,1626804651256,SOLO,MID
11,KR,5335724965,51,430,13,1626710244128,DUO,MID
12,KR,5335494982,887,430,13,1626703177353,DUO_SUPPORT,NONE
13,KR,5334870083,55,450,13,1626689570861,DUO_SUPPORT,TOP
14,KR,5334717911,55,450,13,1626688482696,DUO_SUPPORT,NONE
15,KR,5334754574,61,450,13,1626687298973,DUO,NONE
16,KR,5334690740,145,450,13,1626685205293,SOLO,TOP
17,KR,5334667054,145,450,13,1626684049473,DUO_SUPPORT,NONE
18,KR,5334641114,43,450,13,1626681365833,DUO_SUPPORT,NONE
19,KR,5334538903,555,450,13,1626680359794,DUO_SUPPORT,NONE
20,KR,5334576088,234,450,13,1626679472347,DUO,NONE
21,KR,5334533759,84,450,13,1626678204376,DUO_SUPPORT,NONE
22,KR,5333813175,7,420,13,1626626088067,SOLO,MID
23,KR,5333084622,55,440,13,1626608519795,SOLO,MID
24,KR,5328828663,517,430,13,1626452140316,DUO_SUPPORT,NONE
25,KR,5328842021,55,430,13,1626450105275,SOLO,MID
26,KR,5327613293,103,420,13,1626421432174,SOLO,MID
27,KR,5326294145,498,450,13,1626355790445,DUO,MID
28,KR,5326128290,887,430,13,1626351245666,NONE,JUNGLE
29,KR,5326154096,55,430,13,1626349945826,DUO_SUPPORT,NONE
30,KR,5324565636,236,450,13,1626270424102,DUO_SUPPORT,NONE
31,KR,5324561339,51,450,13,1626269190667,DUO_SUPPORT,NONE
32,KR,5324397372,81,450,13,1626268023558,DUO,NONE
33,KR,5324452084,134,450,13,1626266498337,DUO,MID
34,KR,5322731790,7,420,13,1626194886850,SOLO,MID
35,KR,5322614750,142,420,13,1626191253407,SOLO,MID
36,KR,5322630994,43,420,13,1626189724879,DUO_SUPPORT,NONE
37,KR,5322494579,142,420,13,1626186982447,SOLO,MID
38,KR,5322387927,7,420,13,1626185003106,DUO,TOP
39,KR,5322248358,142,420,13,1626182866328,SOLO,MID
40,KR,5321912561,7,420,13,1626177674770,DUO_SUPPORT,NONE
41,KR,5321825459,7,420,13,1626175893599,DUO_SUPPORT,NONE
42,KR,5321708824,7,420,13,1626173514247,SOLO,MID
43,KR,5321735856,7,420,13,1626172379199,DUO_SUPPORT,NONE
44,KR,5321659432,117,420,13,1626169756810,DUO_SUPPORT,BOTTOM
45,KR,5321581218,7,420,13,1626162291990,DUO_SUPPORT,NONE
46,KR,5321501543,142,420,13,1626161466574,DUO,NONE
47,KR,5321426878,142,420,13,1626159456151,SOLO,MID
48,KR,5320721324,7,420,13,1626118552366,SOLO,MID
49,KR,5320668930,142,420,13,1626116142627,DUO_SUPPORT,NONE
50,KR,5320638303,142,420,13,1626114226803,DUO_SUPPORT,NONE
51,KR,5320606244,7,420,13,1626111812769,SOLO,MID
52,KR,5320600210,7,420,13,1626107492997,SOLO,MID
53,KR,5320545863,142,420,13,1626105376335,DUO,TOP
54,KR,5320492228,7,420,13,1626103322040,SOLO,MID
55,KR,5320473383,142,420,13,1626100867032,DUO_CARRY,MID
56,KR,5319957789,142,420,13,1626086664174,DUO,MID
57,KR,5319869637,7,420,13,1626083396239,DUO_CARRY,MID
58,KR,5318818824,7,420,13,1626027124580,SOLO,MID
59,KR,5318853477,7,420,13,1626023223711,SOLO,MID
60,KR,5318769175,117,420,13,1626020941746,DUO_SUPPORT,BOTTOM
61,KR,5318736362,7,420,13,1626019269838,DUO_SUPPORT,NONE
62,KR,5318678932,142,420,13,1626016725407,DUO_SUPPORT,NONE
63,KR,5318613589,142,420,13,1626014448937,SOLO,MID
64,KR,5318535006,142,420,13,1626012057189,SOLO,MID
65,KR,5318464317,117,420,13,1626009412253,DUO_SUPPORT,BOTTOM
